"","CellType","annotLevel","p","fold_change","sd_from_mean","q","hit.cells","geneSizeControl","list"
"1","Excitatory_neurons",1,5e-05,1.62102450071085,4.94978333666891,0.00075,5.15824063786733,FALSE,"ASD HC65"
"2","Inhibitory_neurons",1,0.00025,1.60115045290647,4.65171159273213,0.001875,4.77083437904488,FALSE,"ASD HC65"
"3","gIPC",1,0.05595,1.1455763992714,1.67642729575344,0.27975,3.70658726596562,FALSE,"ASD HC65"
"4","OPC&Oligo",1,0.0941,1.18959918261155,1.39266739899335,0.2847,4.5192011361885,FALSE,"ASD HC65"
"5","CR",1,0.0949,1.19107401498908,1.36674584380259,0.2847,3.89396634821383,FALSE,"ASD HC65"
"6","enIPC",1,0.11695,1.11097835530301,1.14441318053798,0.292375,2.79270755844061,FALSE,"ASD HC65"
"7","Astro",1,0.30115,1.06354405345609,0.460351020115899,0.645321428571428,3.91412760015334,FALSE,"ASD HC65"
"8","inIPC",1,0.87095,0.884421743802888,-1.07597298761449,0.9999,2.40414493007696,FALSE,"ASD HC65"
"9","RB&Vas",1,0.91495,0.768244483405105,-1.26067665318024,0.9999,2.94704570459564,FALSE,"ASD HC65"
"10","Immune",1,0.97145,0.690960021198095,-1.60829836221718,0.9999,2.25561852530531,FALSE,"ASD HC65"
"11","Mes",1,0.9744,0.719576209213782,-1.57710608381944,0.9999,2.18933532270175,FALSE,"ASD HC65"
"12","PAT_related_subtypes",1,0.9962,0.786317987218166,-2.32739618247137,0.9999,2.23264914940846,FALSE,"ASD HC65"
"13","GE_NSC",1,0.9989,0.760114852757195,-2.6648430633295,0.9999,2.3555540573706,FALSE,"ASD HC65"
"14","dorsal_NSC",1,0.9998,0.730041038228693,-3.08939692077665,0.9999,2.03132319084214,FALSE,"ASD HC65"
"15","Patterning_centers",1,0.9999,0.662969252743425,-3.13723986051543,0.9999,1.82866413950407,FALSE,"ASD HC65"
"16","InN_NR2F2_SP8",2,0.00085,1.4028789608089,3.81047479106977,0.0466666666666667,0.473154357531464,FALSE,"ASD HC65"
"17","InN_NR2F2_CRH",2,0.0013,1.53602768854478,3.90948952571674,0.0466666666666667,0.616735311115783,FALSE,"ASD HC65"
