"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZIC4",0,1.53637487237194,0.686,0.181,0,"PC FGF17","ZIC4"
"DLK1",0,1.44033512209225,0.795,0.23,0,"PC FGF17","DLK1"
"FGF8",0,1.34535903330463,0.181,0.009,0,"PC FGF17","FGF8"
"FGF18",0,1.31298939520905,0.257,0.007,0,"PC FGF17","FGF18"
"DUSP6",0,1.25645964526257,0.432,0.058,0,"PC FGF17","DUSP6"
"SP8",0,1.2507327349692,0.381,0.038,0,"PC FGF17","SP8"
"SPRY1",0,1.24641153982828,0.389,0.057,0,"PC FGF17","SPRY1"
"CLYBL",0,1.22985802686297,0.51,0.117,0,"PC FGF17","CLYBL"
"IL17RD",0,1.1928744292206,0.385,0.065,0,"PC FGF17","IL17RD"
"LOX",0,1.08891988947768,0.336,0.051,0,"PC FGF17","LOX"
"RACK1",0,0.673564474331648,0.996,0.978,0,"PC FGF17","RACK1"
"RPL3",2.10453655282542e-297,0.52537003313671,1,0.999,3.64863502163343e-293,"PC FGF17","RPL3"
"ETV4",6.9538830003725e-262,0.589318847252856,0.157,0.011,1.20559469577458e-257,"PC FGF17","ETV4"
"FGF3",1.18623236204707e-257,0.844861963233319,0.111,0.002,2.056571046081e-253,"PC FGF17","FGF3"
"SMOC1",5.7560097910887e-251,0.704492446078358,0.187,0.02,9.97919417481047e-247,"PC FGF17","SMOC1"
"PTN",1.58465419085325e-227,0.986428298771803,0.832,0.558,2.74731497068228e-223,"PC FGF17","PTN"
"LYN",7.71852467965833e-216,0.405575903158052,0.103,0.003,1.33816062371236e-211,"PC FGF17","LYN"
"NPM3",4.48029932380615e-198,1.13074785886713,0.612,0.313,7.76749493768272e-194,"PC FGF17","NPM3"
"FABP7",9.09507599423693e-198,1.09642245592285,0.865,0.589,1.57681332512086e-193,"PC FGF17","FABP7"
"ZIC1",8.25670317202251e-194,0.84527694608561,0.551,0.241,1.43146462893354e-189,"PC FGF17","ZIC1"
"TMEM132D",2.85605558499929e-190,0.465022629406633,0.144,0.015,4.95154356771326e-186,"PC FGF17","TMEM132D"
"FDX1",1.15079310187157e-188,1.11648069877558,0.513,0.234,1.99513000071474e-184,"PC FGF17","FDX1"
"RPL10A",7.0428259388743e-185,0.488219915598837,0.997,0.985,1.22101473302264e-180,"PC FGF17","RPL10A"
"MDK",1.8014108908543e-179,0.653451790598516,0.952,0.809,3.1231060614741e-175,"PC FGF17","MDK"
"NFIA",3.28068203035618e-179,0.897361108920068,0.722,0.433,5.6877184360285e-175,"PC FGF17","NFIA"
"ZIC2",3.4194140820458e-172,0.812163248954279,0.486,0.207,5.92823819404281e-168,"PC FGF17","ZIC2"
"NNAT",2.52373410762882e-166,0.558842834053274,0.96,0.798,4.37539782239609e-162,"PC FGF17","NNAT"
"RPL13",6.8088574202648e-159,0.432652477084236,0.999,0.996,1.18045161095131e-154,"PC FGF17","RPL13"
"AGR3",9.87620960659362e-157,0.528555132407657,0.106,0.009,1.71223845949514e-152,"PC FGF17","AGR3"
"ZFHX4",4.55352549844943e-151,0.7602484873853,0.436,0.183,7.89444715666177e-147,"PC FGF17","ZFHX4"
"MDFI",3.04193690108003e-149,0.590080705081317,0.245,0.064,5.27380600540244e-145,"PC FGF17","MDFI"
"RPS3",1.41693639575632e-141,0.504978496945276,0.997,0.977,2.45654262932274e-137,"PC FGF17","RPS3"
"ZIC3",3.32745866419445e-139,0.651996290686116,0.296,0.098,5.76881508611392e-135,"PC FGF17","ZIC3"
"CAMK4",2.80446059539628e-131,0.547113895281336,0.179,0.041,4.86209333423853e-127,"PC FGF17","CAMK4"
"MEST",1.96140906854746e-127,0.61148901330822,0.893,0.702,3.40049490214072e-123,"PC FGF17","MEST"
"CA4",1.5311255783993e-126,0.574722262430146,0.179,0.042,2.65451241527087e-122,"PC FGF17","CA4"
"LOXL1",6.54261716426967e-123,0.668783533152222,0.362,0.15,1.13429353776943e-118,"PC FGF17","LOXL1"
"DSP",8.80352987583233e-123,0.375455540401835,0.102,0.013,1.52626797457305e-118,"PC FGF17","DSP"
"ZIC5",1.0424228744769e-112,0.639081577088911,0.378,0.166,1.8072485374806e-108,"PC FGF17","ZIC5"
"CCND1",8.75230403538947e-111,0.60650788773046,0.771,0.546,1.51738695061547e-106,"PC FGF17","CCND1"
"SPRY2",9.42750880819981e-109,0.507860149240999,0.171,0.043,1.6344472020776e-104,"PC FGF17","SPRY2"
"LOC712274",5.92651213598579e-108,0.450048751452545,0.99,0.963,1.02747940901586e-103,"PC FGF17","LOC712274"
"RPS14",8.02967956002221e-108,0.319639674014253,1,0.998,1.39210554532105e-103,"PC FGF17","RPS14"
"ISLR2",1.11010181999988e-107,0.500718715809135,0.132,0.027,1.9245835253338e-103,"PC FGF17","ISLR2"
"LRRC3B",2.59356665256205e-107,0.504777843744015,0.183,0.05,4.49646650554683e-103,"PC FGF17","LRRC3B"
"EEF1G",7.31077411513403e-105,0.399543239076994,0.992,0.97,1.26746890834079e-100,"PC FGF17","EEF1G"
"ANXA2",1.4008872794089e-102,0.572065662828171,0.307,0.122,2.42871827631121e-98,"PC FGF17","ANXA2"
"SIX3",8.9945433623361e-102,0.642378266690049,0.46,0.236,1.55938398272821e-97,"PC FGF17","SIX3"
"PIPOX",1.72538140265641e-100,0.484377645426282,0.19,0.056,2.99129373778542e-96,"PC FGF17","PIPOX"
"CDKN1C",5.36916634742463e-100,0.749826824823851,0.421,0.211,9.30852369653009e-96,"PC FGF17","CDKN1C"
"RPL4",8.23351555219755e-98,0.51946888094835,0.952,0.853,1.42744459128449e-93,"PC FGF17","RPL4"
"TPT1",1.35292518944169e-96,0.395708559934027,0.974,0.931,2.34556640093506e-92,"PC FGF17","TPT1"
"RPS3A",2.30734897198269e-95,0.392022858700388,0.998,0.981,4.00025091272638e-91,"PC FGF17","RPS3A"
"COL9A2",2.85354478253886e-95,0.406589251465168,0.108,0.02,4.94719058948763e-91,"PC FGF17","COL9A2"
"PRSS23",4.64466641482525e-93,0.574943374735625,0.316,0.135,8.05245816338253e-89,"PC FGF17","PRSS23"
"GAS1",1.05503848075217e-89,0.421312849226269,0.164,0.047,1.82912021408003e-85,"PC FGF17","GAS1"
"FEZF2",1.16606681173731e-82,0.625553657229914,0.356,0.173,2.02161003150898e-78,"PC FGF17","FEZF2"
"CCDC80",1.52532680440334e-81,0.481474486444307,0.136,0.037,2.64445908079407e-77,"PC FGF17","CCDC80"
"RARRES2",4.38020055739331e-79,0.376706323752282,0.119,0.029,7.59395370635278e-75,"PC FGF17","RARRES2"
"BOC",1.00179159940692e-78,0.383722606914001,0.135,0.037,1.73680609589177e-74,"PC FGF17","BOC"
"GALNT12",3.20948370313784e-78,0.413942011358632,0.153,0.047,5.56428189613008e-74,"PC FGF17","GALNT12"
"CSRNP3",5.38591069053887e-77,0.493946575524414,0.232,0.092,9.33755336418724e-73,"PC FGF17","CSRNP3"
"QPRT",2.22358813324066e-75,0.439272798124713,0.181,0.063,3.85503474659934e-71,"PC FGF17","QPRT"
"FBLN1",3.63732592751919e-74,0.554862641649295,0.495,0.299,6.30603196054002e-70,"PC FGF17","FBLN1"
"MFAP2",6.02037428009196e-74,0.518617429194468,0.574,0.367,1.04375228893954e-69,"PC FGF17","MFAP2"
"ARL4C",1.61786578360708e-73,0.561812286254995,0.453,0.261,2.80489390903959e-69,"PC FGF17","ARL4C"
"RPS8",4.03330100974259e-72,0.257650887269388,1,0.998,6.99253396059072e-68,"PC FGF17","RPS8"
"EFNB2",8.20006480524848e-70,0.494982002293002,0.251,0.109,1.42164523528593e-65,"PC FGF17","EFNB2"
"RPL23A",3.03246828468106e-68,0.430550077446254,0.95,0.863,5.25739026515155e-64,"PC FGF17","RPL23A"
"GLI3",2.27384678368587e-67,0.417350055174845,0.226,0.094,3.9421681688762e-63,"PC FGF17","GLI3"
"OTX2",3.08071038150595e-67,0.436546200770997,0.352,0.178,5.34102758841687e-63,"PC FGF17","OTX2"
"ILDR2",2.45739452891038e-65,0.472146051864103,0.306,0.149,4.26038489477192e-61,"PC FGF17","ILDR2"
"ETV1",1.03200665405982e-63,0.309110551894253,0.134,0.042,1.78918993614352e-59,"PC FGF17","ETV1"
"SERINC5",2.02722608605417e-63,0.351881257517032,0.104,0.028,3.51460186539211e-59,"PC FGF17","SERINC5"
"RSPO1",2.7038108723894e-62,0.379171995614336,0.332,0.168,4.6875969094615e-58,"PC FGF17","RSPO1"
"TGIF1",1.77587557212057e-61,0.439599493626922,0.384,0.211,3.07883547938543e-57,"PC FGF17","TGIF1"
"FTL",2.43648550049986e-61,0.335066249945007,0.95,0.858,4.22413491221661e-57,"PC FGF17","FTL"
"KIF26A",4.5426505000636e-61,0.31715373644365,0.127,0.039,7.87559317196026e-57,"PC FGF17","KIF26A"
"IGFBP2",2.44207434842404e-60,0.468446743067529,0.867,0.834,4.23382429786275e-56,"PC FGF17","IGFBP2"
"TOM1",3.99405507925361e-59,0.34749163734458,0.136,0.046,6.92449329090198e-55,"PC FGF17","TOM1"
"NOP53",1.66588573885221e-58,0.464886428908403,0.654,0.471,2.88814610544807e-54,"PC FGF17","NOP53"
"UCHL1",5.91394146437187e-58,0.443994693142681,0.513,0.329,1.02530003167815e-53,"PC FGF17","UCHL1"
"LSR",6.24789404568567e-58,0.366482410911616,0.15,0.055,1.08319739070052e-53,"PC FGF17","LSR"
"EIF3F",1.35360690881575e-55,0.35941977180683,0.886,0.782,2.34674829781387e-51,"PC FGF17","EIF3F"
"DMRTA1",1.36593512369418e-55,0.460092448265335,0.284,0.145,2.36812172394859e-51,"PC FGF17","DMRTA1"
"IRS1",2.90017455118744e-55,0.3972552617,0.205,0.09,5.02803261939366e-51,"PC FGF17","IRS1"
"FSTL1",1.25516938457898e-53,0.394890493259675,0.197,0.087,2.17608716204458e-49,"PC FGF17","FSTL1"
"CALD1",3.87584360365442e-51,0.557339199349599,0.541,0.365,6.71955005565567e-47,"PC FGF17","CALD1"
"SCG5",5.016280572022e-51,0.448455869138257,0.489,0.318,8.69672562771454e-47,"PC FGF17","SCG5"
"IGFBP5",6.35795010715446e-51,0.481028212276911,0.284,0.151,1.10227781007737e-46,"PC FGF17","IGFBP5"
"ZNF423",2.05758631994812e-50,0.39200900033649,0.22,0.104,3.56723740289405e-46,"PC FGF17","ZNF423"
"IER5L",5.18585277285836e-50,0.3779071006004,0.232,0.111,8.99071295230454e-46,"PC FGF17","IER5L"
"FSCN1",1.16926943317647e-49,0.393489349439804,0.622,0.45,2.02716241629805e-45,"PC FGF17","FSCN1"
"SLC25A3",3.1534850211315e-48,0.316174105384592,0.908,0.834,5.46719698113569e-44,"PC FGF17","SLC25A3"
"SALL2",9.64381210584471e-48,0.367178715327274,0.297,0.16,1.6719477047903e-43,"PC FGF17","SALL2"
"EIF4A2",1.195868667041e-47,0.41090413603621,0.725,0.564,2.07327750804898e-43,"PC FGF17","EIF4A2"
"SERPING1",1.22448419605063e-47,0.347961928996731,0.173,0.075,2.12288825069298e-43,"PC FGF17","SERPING1"
"ZNF521",1.70355741834197e-47,0.382806734989835,0.296,0.161,2.95345749617948e-43,"PC FGF17","ZNF521"
"EEF2",2.92717967912841e-47,0.372737141596751,0.822,0.699,5.07485140970493e-43,"PC FGF17","EEF2"
"TLE4",3.40010110909117e-47,0.367921224914772,0.494,0.318,5.89475529283136e-43,"PC FGF17","TLE4"
"DTNA",5.43599673458283e-46,0.263635150640914,0.104,0.034,9.42438753874626e-42,"PC FGF17","DTNA"
"TENM3",7.3122164888886e-46,0.374015792593962,0.238,0.121,1.26771897267862e-41,"PC FGF17","TENM3"
"SH3BGRL",8.57141893958691e-46,0.397277740269521,0.646,0.488,1.48602690155618e-41,"PC FGF17","SH3BGRL"
"ZCCHC7",1.35109467497714e-45,0.392684450522546,0.218,0.107,2.34239283800787e-41,"PC FGF17","ZCCHC7"
"TRIL",1.30812923830434e-44,0.263629948366905,0.104,0.035,2.26790366044824e-40,"PC FGF17","TRIL"
"BSG",8.85400834280042e-44,0.407784392153272,0.603,0.443,1.53501942639131e-39,"PC FGF17","BSG"
"RGMA",9.81923384730269e-44,0.359038590225943,0.317,0.177,1.70236057210687e-39,"PC FGF17","RGMA"
"CCDC85B",1.4538795599798e-43,0.3657455793227,0.322,0.187,2.52059099313698e-39,"PC FGF17","CCDC85B"
"GPX1",3.06867172372703e-43,0.379398453132513,0.407,0.254,5.32015616742555e-39,"PC FGF17","GPX1"
"FZD3",3.2638258442996e-43,0.330276438304298,0.202,0.098,5.65849486626222e-39,"PC FGF17","FZD3"
"FRMD4A",1.75438208215263e-42,0.297373535139719,0.146,0.061,3.04157221582801e-38,"PC FGF17","FRMD4A"
"NR2F6",2.99975316838528e-42,0.353241970232568,0.247,0.13,5.20067206802955e-38,"PC FGF17","NR2F6"
"CD200",1.04116461569442e-41,0.376134472971693,0.3,0.17,1.80506709422941e-37,"PC FGF17","CD200"
"AKR1B1",3.07734227853582e-40,0.3944549309862,0.552,0.393,5.33518830829756e-36,"PC FGF17","AKR1B1"
"MLLT3",4.45100245126538e-40,0.334508619703002,0.231,0.12,7.71670294975878e-36,"PC FGF17","MLLT3"
"CITED4",8.26339221917805e-40,0.291294741747018,0.145,0.062,1.4326243090389e-35,"PC FGF17","CITED4"
"PPP1R1A",8.35582985627991e-40,0.384292030740063,0.302,0.179,1.44865022218325e-35,"PC FGF17","PPP1R1A"
"METTL21A",2.0968587604538e-39,0.362564457939968,0.371,0.233,3.63532403299876e-35,"PC FGF17","METTL21A"
"NFIB",4.78955025522633e-39,0.308251302517978,0.503,0.34,8.30364327748589e-35,"PC FGF17","NFIB"
"IDH2",1.88833276229024e-36,0.328368897925929,0.736,0.6,3.27380250998259e-32,"PC FGF17","IDH2"
"LHX2",2.15129432378712e-36,0.289824266644884,0.364,0.222,3.72969896914973e-32,"PC FGF17","LHX2"
"HBP1",4.59357618878407e-36,0.30451858400037,0.198,0.101,7.96388303849494e-32,"PC FGF17","HBP1"
"ALKBH7",1.0956779471993e-35,0.341487138080551,0.503,0.354,1.89957685705943e-31,"PC FGF17","ALKBH7"
"FEZF1",5.33571104130756e-35,0.316165010632092,0.175,0.086,9.25052223231491e-31,"PC FGF17","FEZF1"
"YIPF3",9.75241395513635e-35,0.349992444909232,0.344,0.218,1.69077600740199e-30,"PC FGF17","YIPF3"
"KLHDC9",6.7367504486174e-34,0.304575080771726,0.179,0.091,1.1679504252768e-29,"PC FGF17","KLHDC9"
"HSPB1",8.06644830882372e-34,0.302968675936643,0.428,0.28,1.39848014330077e-29,"PC FGF17","HSPB1"
"FKBP7",1.48014514399364e-33,0.296857937811755,0.24,0.134,2.56612763614177e-29,"PC FGF17","FKBP7"
"PHACTR2",2.65423600287837e-33,0.318312647589174,0.28,0.165,4.60164895819024e-29,"PC FGF17","PHACTR2"
"SRSF5",2.73964705724995e-33,0.326354434361993,0.639,0.495,4.74972610315424e-29,"PC FGF17","SRSF5"
"LFNG",2.92058835142115e-33,0.279588707131583,0.249,0.14,5.06342402485886e-29,"PC FGF17","LFNG"
"EFNA5",5.36620262286029e-33,0.280573827616202,0.178,0.09,9.30338548725289e-29,"PC FGF17","EFNA5"
"GPX7",1.51446693254571e-32,0.310449067081966,0.278,0.166,2.6256313209545e-28,"PC FGF17","GPX7"
"ZNF395",3.11248027087094e-32,0.28910354574389,0.199,0.107,5.39610704560895e-28,"PC FGF17","ZNF395"
"OCIAD2",4.50830188195764e-32,0.281383777769155,0.149,0.072,7.81604297274996e-28,"PC FGF17","OCIAD2"
"SOX4",4.73415397334202e-32,0.39559726140752,0.935,0.879,8.20760274358305e-28,"PC FGF17","SOX4"
"PTPRN2",9.65921466171615e-32,0.263871631238723,0.178,0.09,1.67461804590173e-27,"PC FGF17","PTPRN2"
"GLIPR2",1.27833178004695e-31,0.301001488657436,0.284,0.171,2.2162438070674e-27,"PC FGF17","GLIPR2"
"MAGED2",1.43344295370763e-31,0.326686810329207,0.698,0.581,2.48516004884292e-27,"PC FGF17","MAGED2"
"ABLIM1",2.55989432378027e-31,0.292504488697763,0.121,0.054,4.43808878913785e-27,"PC FGF17","ABLIM1"
"PNISR",1.3422884201373e-30,0.283212440818608,0.751,0.619,2.32712543399203e-26,"PC FGF17","PNISR"
"NEK6",1.36197827826386e-30,0.268266094106857,0.291,0.176,2.36126174102605e-26,"PC FGF17","NEK6"
"MAPKAPK3",1.52415797670479e-30,0.262278887970965,0.149,0.072,2.64243268421309e-26,"PC FGF17","MAPKAPK3"
"EIF3L",3.6364916450878e-30,0.279435415393845,0.784,0.661,6.30458556508872e-26,"PC FGF17","EIF3L"
"RPL7",6.24697068811678e-30,0.333395640763687,0.942,0.899,1.08303730819881e-25,"PC FGF17","RPL7"
"SLIT2",2.04435272248816e-28,0.341709948338781,0.239,0.145,3.54429431497773e-24,"PC FGF17","SLIT2"
"DCBLD2",2.22696594979117e-28,0.300275186699757,0.22,0.127,3.86089086715296e-24,"PC FGF17","DCBLD2"
"CXXC5",2.66093198719688e-28,0.305857633508218,0.323,0.21,4.61325778620324e-24,"PC FGF17","CXXC5"
"CUTA",4.36818072386261e-28,0.307149766379947,0.691,0.553,7.57311492096061e-24,"PC FGF17","CUTA"
"PCCA",6.57418749783328e-28,0.270290629437596,0.188,0.104,1.13976688649935e-23,"PC FGF17","PCCA"
"TSTD1",3.69504894357918e-27,0.25379199035175,0.178,0.097,6.40610635348323e-23,"PC FGF17","TSTD1"
"RAB34",3.79359573604118e-27,0.301722988818569,0.228,0.135,6.5769569275746e-23,"PC FGF17","RAB34"
"RPL26",4.7055340910981e-26,0.369735503187189,0.709,0.596,8.15798445373677e-22,"PC FGF17","RPL26"
"CDC34",8.62414779030652e-25,0.283866568249078,0.316,0.209,1.49516850240544e-20,"PC FGF17","CDC34"
"BEX4",9.34056594997249e-25,0.274618524354918,0.571,0.44,1.61937391874673e-20,"PC FGF17","BEX4"
