GENE	GENE_SYMBOL	ASD_2019	ADHD_2019	SCZ_2020	BD_2019	OCD_2018	AN_2019	TS_2019	MDD_2018	NEUROT_2018	IQ_2018	AD_2019	PD_2014
148398	SAMD11	0.68216	0.90753	0.084201	0.5453	0.42019	0.15042	0.62713	0.28636	0.050828	0.29833	0.58611	0.2521
26155	NOC2L	0.47043	0.99583	0.0029012	0.73144	0.40579	0.14195	0.78709	0.2337	0.11735	0.63962	0.78267	NA
339451	KLHL17	0.34324	0.99566	0.0039418	0.26891	0.40861	0.31307	0.80141	0.53559	0.090756	0.60276	0.19917	NA
84069	PLEKHN1	0.23763	0.987	0.004483	0.50912	0.21486	0.38447	0.9609	0.20217	0.11259	0.22175	0.068457	NA
84808	PERM1	0.030802	0.086298	0.54568	0.38706	0.17632	0.18256	0.92371	0.29766	0.24903	0.038732	0.21293	0.99709
57801	HES4	0.24421	0.010984	0.57001	0.044115	0.16519	0.61952	0.61117	0.11649	0.18883	0.0042327	0.17043	0.4638
9636	ISG15	0.39034	0.82315	0.8374	0.41309	0.24883	0.77761	0.54177	0.038158	0.14358	0.017313	0.20779	0.45205
375790	AGRN	0.19631	0.74463	0.98418	0.76731	0.15828	0.74299	0.84199	0.36832	0.061544	0.088895	0.0062971	0.075701
401934	RNF223	0.36845	NA	0.51565	0.32232	0.1874	0.60967	0.44098	0.39108	0.023085	0.17101	0.068706	0.23637
54991	C1orf159	0.64766	0.11506	0.84329	0.30303	0.8095	0.62201	0.84205	0.4726	0.35242	0.66733	0.16734	0.31445
254173	TTLL10	0.29509	0.95772	0.049194	0.79406	0.21774	0.1304	0.20425	0.13432	0.62388	0.033061	0.060764	0.49069
8784	TNFRSF18	0.83303	0.5646	0.42659	0.8337	0.38837	0.11268	0.77425	0.029227	0.46796	0.59608	0.48231	0.38389
7293	TNFRSF4	0.42379	0.70291	0.0057907	0.15972	0.26074	0.41403	0.78034	0.40094	0.75998	0.73239	0.13975	0.55544
51150	SDF4	0.88046	0.49207	0.0011868	0.028179	0.32956	0.59386	0.77465	0.40857	0.85989	0.21142	0.10825	0.28141
126792	B3GALT6	0.9186	0.5777	0.0041544	0.077111	0.16424	0.50883	0.92726	0.52622	0.85365	0.35292	0.18243	0.023632
388581	FAM132A	0.84857	0.49741	0.00034516	0.20008	0.076028	0.70489	0.90927	0.75857	0.70112	0.77216	0.35406	0.092305
118424	UBE2J2	0.66102	0.80932	0.13962	0.95946	0.44804	0.66652	0.7095	0.44487	0.10911	0.40916	0.23249	0.11114
6339	SCNN1D	0.82035	0.82936	0.011672	0.89137	0.47117	0.74663	0.50872	0.32008	0.20742	0.42238	0.15248	0.2041
116983	ACAP3	0.58735	0.65987	0.011791	0.44132	0.17094	0.59702	0.35572	0.55204	0.40843	0.86878	0.21849	0.49759
126789	PUSL1	0.29077	0.85995	0.060161	0.076262	0.031017	0.4407	0.38921	0.62805	0.98283	0.8529	0.24204	0.55631
54973	CPSF3L	0.8501	0.38684	0.044351	0.045081	0.074162	0.38129	0.64237	0.48195	0.67991	0.54974	0.26241	0.50209
80772	CPTP	0.79343	0.28022	0.019865	0.19647	0.27681	0.38055	0.91532	0.25576	0.44929	0.43558	0.1997	0.44748
83756	TAS1R3	0.82182	0.33151	0.19748	0.38682	0.37627	0.2814	0.68752	0.089206	0.70675	0.18388	0.1891	0.70037
1855	DVL1	0.8162	0.2698	0.14664	0.1436	0.4074	0.26937	0.62133	0.24349	0.8422	0.22348	0.17174	0.41618
54587	MXRA8	0.80416	0.19287	0.10445	0.19945	0.34985	0.65852	0.66315	0.25687	0.86448	0.42938	0.49943	0.30062
54998	AURKAIP1	0.69633	0.25327	0.099818	0.68934	0.12985	0.40924	0.28958	0.29033	0.75371	0.47523	0.81224	0.72405
