Dataset	Gene
AD_2019	PPOX
AD_2019	B4GALT3
AD_2019	ADAMTS4
AD_2019	NDUFS2
AD_2019	FCER1G
AD_2019	APOA2
AD_2019	CR1
AD_2019	CR1L
AD_2019	BIN1
AD_2019	ERCC3
AD_2019	GPR17
AD_2019	INPP5D
AD_2019	HESX1
AD_2019	MICB
AD_2019	C4A
AD_2019	C4B
AD_2019	PRRT1
AD_2019	PPT2-EGFL8
AD_2019	EGFL8
AD_2019	AGPAT1
AD_2019	RNF5
AD_2019	AGER
AD_2019	PBX2
AD_2019	GPSM3
AD_2019	NOTCH4
AD_2019	C6orf10
AD_2019	BTNL2
AD_2019	HLA-DRA
AD_2019	HLA-DRB5
AD_2019	HLA-DRB1
AD_2019	HLA-DQA1
AD_2019	HLA-DQB1
AD_2019	HLA-DQA2
AD_2019	HLA-DQB2
AD_2019	HLA-DOB
AD_2019	TAP2
AD_2019	PSMB8
AD_2019	PSMB9
AD_2019	VPS52
AD_2019	TREML1
AD_2019	TREM2
AD_2019	CD2AP
AD_2019	GPR111
AD_2019	TRIM4
AD_2019	AZGP1
AD_2019	ZKSCAN1
AD_2019	ZSCAN21
AD_2019	COPS6
AD_2019	MCM7
AD_2019	AP4M1
AD_2019	TAF6
AD_2019	CNPY4
AD_2019	MBLAC1
AD_2019	LAMTOR4
AD_2019	C7orf43
AD_2019	GAL3ST4
AD_2019	GPC2
AD_2019	STAG3
AD_2019	GATS
AD_2019	PVRIG
AD_2019	PILRB
AD_2019	PILRA
AD_2019	ZCWPW1
AD_2019	MEPCE
AD_2019	PPP1R35
AD_2019	C7orf61
AD_2019	TSC22D4
AD_2019	NYAP1
AD_2019	AGFG2
AD_2019	LRCH4
AD_2019	SAP25
AD_2019	FBXO24
AD_2019	MOSPD3
AD_2019	TFR2
AD_2019	GIGYF1
AD_2019	EPHB4
AD_2019	SLC12A9
AD_2019	FAM131B
AD_2019	ZYX
AD_2019	EPHA1
AD_2019	TAS2R60
AD_2019	ARHGEF35
AD_2019	OR2A7
AD_2019	CNTNAP2
AD_2019	TRIM35
AD_2019	PTK2B
AD_2019	CHRNA2
AD_2019	EPHX2
AD_2019	CLU
AD_2019	SCARA3
AD_2019	CCDC25
AD_2019	TCN1
AD_2019	MS4A3
AD_2019	MS4A2
AD_2019	MS4A6A
AD_2019	MS4A4E
AD_2019	MS4A4A
AD_2019	MS4A6E
AD_2019	PICALM
AD_2019	C11orf73
AD_2019	SORL1
AD_2019	SLC24A4
AD_2019	RIN3
AD_2019	ADAM10
AD_2019	FAM63B
AD_2019	RNF111
AD_2019	SLTM
AD_2019	TPM1
AD_2019	LACTB
AD_2019	RAB8B
AD_2019	APH1B
AD_2019	C16orf93
AD_2019	RNF40
AD_2019	HSD3B7
AD_2019	STX1B
AD_2019	STX4
AD_2019	ZNF668
AD_2019	ZNF646
AD_2019	PRSS53
AD_2019	BCKDK
AD_2019	KAT8
AD_2019	PRSS8
AD_2019	PRSS36
AD_2019	ITGAX
AD_2019	MINK1
AD_2019	CHRNE
AD_2019	C17orf107
AD_2019	RNF167
AD_2019	CAMTA2
AD_2019	INCA1
AD_2019	KIF1C
AD_2019	ZFP3
AD_2019	ZNF232
AD_2019	USP6
AD_2019	SCIMP
AD_2019	RABEP1
AD_2019	NUP88
AD_2019	GNGT2
AD_2019	PHOSPHO1
AD_2019	ZNF652
AD_2019	ALPK2
AD_2019	FGF22
AD_2019	WDR18
AD_2019	GRIN3B
AD_2019	CNN2
AD_2019	ABCA7
AD_2019	HMHA1
AD_2019	POLR2E
AD_2019	GPX4
AD_2019	ZNF223
AD_2019	ZNF225
AD_2019	IGSF23
AD_2019	PVR
AD_2019	CEACAM19
AD_2019	CEACAM16
AD_2019	BCL3
AD_2019	CBLC
AD_2019	BCAM
AD_2019	PVRL2
AD_2019	TOMM40
AD_2019	APOE
AD_2019	APOC1
AD_2019	APOC4
AD_2019	APOC2
AD_2019	CLPTM1
AD_2019	RELB
AD_2019	CLASRP
AD_2019	ZNF296
AD_2019	GEMIN7
AD_2019	MARK4
AD_2019	PPP1R37
AD_2019	NKPD1
AD_2019	TRAPPC6A
AD_2019	BLOC1S3
AD_2019	EXOC3L2
AD_2019	CKM
AD_2019	KLC3
AD_2019	ERCC2
AD_2019	EML2
AD_2019	C19orf83
AD_2019	FBXO46
AD_2019	AC074212.3
AD_2019	DMPK
AD_2019	DMWD
AD_2019	IRF2BP1
AD_2019	CD33
AD_2019	SIGLECL1
AD_2019	VSIG10L
AD_2019	CSTF1
AD_2019	CASS4
AD_2019	RTFDC1
AD_2019	FAM209B
SCZ_2020	RERE
SCZ_2020	CUL9
SCZ_2020	ZNF823
SCZ_2020	SNAP91
SCZ_2020	FURIN
SCZ_2020	CACNA1I
SCZ_2020	RP11-73M18.2
SCZ_2020	CYP7B1
SCZ_2020	SLC39A8
SCZ_2020	SETD6
SCZ_2020	KLF6
SCZ_2020	ESAM
SCZ_2020	IRF3
SCZ_2020	PJA1
SCZ_2020	SF3B1
SCZ_2020	WSCD2
SCZ_2020	INO80E
SCZ_2020	LINC00320
SCZ_2020	PCNXL3
SCZ_2020	CLCN3
SCZ_2020	AKT3
SCZ_2020	RP11-165J3.6
SCZ_2020	ACE
SCZ_2020	SLC9B1
SCZ_2020	CDH16
SCZ_2020	DNAJA3
SCZ_2020	NDFIP2
SCZ_2020	MOB4
SCZ_2020	ALMS1P
SCZ_2020	DCLK3
SCZ_2020	RNASEH2C
SCZ_2020	CSMD1
SCZ_2020	EMB
SCZ_2020	PCDHA2
SCZ_2020	CREB3L4
SCZ_2020	WBSCR17
SCZ_2020	KIAA1549
SCZ_2020	CACNA1C
SCZ_2020	TXNRD1
SCZ_2020	GABBR2
SCZ_2020	NEGR1
SCZ_2020	ENOX1
SCZ_2020	ZNF804A
SCZ_2020	NXPH1
SCZ_2020	NLGN4X
SCZ_2020	ATG13
SCZ_2020	RP11-2H8.3
SCZ_2020	SGCD
SCZ_2020	AC068490.2
SCZ_2020	PTPRK
SCZ_2020	TSNARE1
SCZ_2020	BCL11B
SCZ_2020	CNTN4
SCZ_2020	GATAD2A
SCZ_2020	RP11-586K2.1
SCZ_2020	TRPC4
SCZ_2020	OPCML
SCZ_2020	NEBL
SCZ_2020	FOXO3
SCZ_2020	GRM1
SCZ_2020	BCL2L12
SCZ_2020	LRRC4B
SCZ_2020	KANSL1
SCZ_2020	CRHR1
SCZ_2020	MAPT
SCZ_2020	LINC01088
SCZ_2020	WDR76
SCZ_2020	PDIA3
SCZ_2020	CALN1
SCZ_2020	NAB2
SCZ_2020	MAN2A1
SCZ_2020	RP11-507B12.2
SCZ_2020	PCGF3
SCZ_2020	BNIP3L
SCZ_2020	THAP8
SCZ_2020	IMMP2L
SCZ_2020	EPN2
SCZ_2020	GPM6A
SCZ_2020	DCC
SCZ_2020	ATP2A2
SCZ_2020	MSI2
SCZ_2020	RP11-399D6.2
SCZ_2020	PAK6
SCZ_2020	MAD1L1
SCZ_2020	IL1RAPL1
SCZ_2020	FOXP1
SCZ_2020	DARS2
SCZ_2020	R3HDM2
SCZ_2020	PDE4B
SCZ_2020	PLCH2
SCZ_2020	MYT1L
SCZ_2020	CISD2
SCZ_2020	EYS
SCZ_2020	THOC7
SCZ_2020	CTD-2008L17.2
SCZ_2020	TMTC1
SCZ_2020	ELAC2
SCZ_2020	PCCB
SCZ_2020	ACTR1B
SCZ_2020	ZNF835
SCZ_2020	GRAMD1B
SCZ_2020	SP4
SCZ_2020	DDHD2
SCZ_2020	BAI3
SCZ_2020	LINC01068
SCZ_2020	FHIT
SCZ_2020	GRIN2A
